Down;Data wydania wyroku;sygnatura akt;Nazwa i siedziba sˆdu, kt—ry wyda¸ wyrok;Oznaczenie stron oraz informacja o udziale w post«powaniu prokuratora lub organizacji spo¸ecznej - POWîD;Oznaczenie stron oraz informacja o udziale w post«powaniu prokuratora lub organizacji spo¸ecznej - POZWANI;Postanowienie wzorca umowy uznane za niedozwolone;Data dokonania wpisu;Uwagi (wszelkie wpisy dodatkowe);Branıa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3913;02 kwi 12;Sygn. Akt XVII AmC 195/11;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Jaros¸aw Knie;Pozwany: EdenSpa.pl sp. z o.o. w Mielnie;"""W przypadku woli rezygnacji pobytu lub us¸ugi dodatkowej Klient powinien z¸oıy rezygnacj« na adres:edenspa@edenspa.home.pl. W takim przypadku rozliczenie stron wynikajˆce z rezygnacji przedstawia si« nast«pujˆco:               a) uiszczona przez klienta op¸ata zostanie mu zwr—cona w wysokoæci 50 % zap¸aconej kwoty w przypadku, gdy rezygnacja nastˆpi¸a w terminie minimum 21 dni od dnia rozpocz«cia pobytu lub us¸ugi,                                                  b) uiszczona przez klienta op¸ata zostanie mu zwr—cona w wysokoæci 10 % zap¸aconej kwoty w przypadku, gdy rezygnacja nastˆpi¸a w terminie minimum 15 dni ale nie wi«cej niı 21 dni od dnia rozpocz«cia pobytu lub us¸ugi,                                  c) uiszczona przez klienta op¸ata zostanie zatrzymana, gdy rezygnacja nastˆpi¸a w terminie 15 dni lub mniej dni do dnia rozpocz«cia pobytu lub us¸ugi, albo gdy Klient nie wykorzysta pobytu lub us¸ugi dodatkowej w terminie (noshow)""";30 pa 12;;INNE USüUGI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3914;07 gru 11;Sygn. Akt XVII AmC 1938/11;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Og—lnopolskie Stowarzyszenie na rzecz ochrony praw konsument—w w Warszawie;Pozwany: Dorota Gˆsior;"""Aptekagdanska.pl zastrzega sobie prawo do zmian treæci niniejszego Regulaminu bez powiadomienia""";30 pa 12;Wyrok Sˆdu Ochrony Konkurencji i Konsument—w z dnia 18 czerwca 2012 r. (Syg. akt XVII AmC 1938/11) utrzymujˆcy w mocy w ca¸oæci Wyrok zaoczny z dnia 7 grudnia 2011 r.;HANDEL ELEKTRONICZNY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3915;26 lip 12;Sygn. Akt XVII AmC 5593/11;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Og—lnopolskie Stowarzyszenie na rzecz ochrony praw konsument—w ;Pozwany: Damian Lipski - Przedsi«biorstwo Produkcyjno-Us¸ugowe Desire w Ogorzelniku;"""Wszelkie pisemne oæwiadczenia lub wezwania wys¸ane na adres drugiej strony listem poleconym, a nie odebrane przez stron«, uznaje si« za dor«czone po up¸ywie 14 dni od dnia awizowania""";30 pa 12;;USüUGI INTERNETOWE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3916;12 cze 12;Sygn. Akt XVII AmC 1661/11;Sˆd Okr«gowy w Warszawie - XVII Wydzia¸ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Og—lnopolskie Stowarzyszenie na rzecz ochrony praw konsument—w ;Pozwany: Micha¸ Urbanowski, Rafa¸ BaraÄski - Student Travel s.c.;"""Klienci zobowiˆzujˆ si« do pokrycia szk—d wyrzˆdzonych przez siebie lub osoby b«dˆce pod ich opiekˆ w czasie trwania imprezy i w miejscu ich powstania""";30 pa 12;;TURYSTYKA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3917;06 gru 11;Sygn. Akt XVII AmC 1075/11;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Stowarzyszenie Eterna z siedzibˆ w Warszawie;Pozwany: Jacek Krogulec - Jacek Krogulec Jacek z siedzibˆ w Opocznie;"""Jeıeli nie jest moıliwe polubowne za¸atwienie sporu w¸aæciwym miejscowo do rozpoznania sprawy jest sˆd w¸aæciwy ze wzgl«du na siedzib« w¸aæciciela sklepu LazienkoMANIA.pl""";30 pa 12;;HANDEL ELEKTRONICZNY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3918;02 kwi 12;Sygn. Akt XVII AmC 966/11;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Og—lnopolskie Stowarzyszenie na rzecz ochrony praw konsument—w w Warszawie;Pozwany: Zygmunt Worsa;"""Plecom zastrzega sobie prawo do zmiany op¸aty abonamentowej. O zmianie Uıytkownik zostanie powiadomiony pisemnie co najmniej 14 dni przed jej wprowadzeniem""";30 pa 12;;USüUGI INTERNETOWE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3919;31 lip 12;Sygn. Akt XVII AmC 1902/12;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;"Pow—d: Stowarzyszenie Na Rzecz Podnoszenia åwiadomoæci Konsumenckiej ""EXECUTIO IURIS""";Pozwany: Ewa Marzec - EwTrade Ewa Marzec;"""Sˆdem w¸aæciwym dla wszelkich spraw spornych zwiˆzanych z kaıdˆ dzia¸alnoæciˆ portalu SklepKawa.pl jest sˆd miejscowo w¸aæciwy wed¸ug miejsca siedziby EwTrade Ewa Marzec""";30 pa 12;;HANDEL ELEKTRONICZNY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3920;22 gru 11;Sygn. Akt XVII AmC 5436/11;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Og—lnopolskie Stowarzyszenie na rzecz ochrony praw konsument—w z/s w Warszawie;Pozwany: Sylwiusz Chrastina - Web-Net Serwis Sylwiusz Chrastina z/s w miejscowoæci Kopice;"""Web-Net nie ponosi ıadnej odpowiedzialnoæci: (É) Z tytu¸u strat, jakie moıe ponieæ Abonent na skutek niew¸aæciwego dzia¸ania Web-Net lub sieci Internet oraz urzˆdzeÄ do niej przy¸ˆczonych a w szczeg—lnoæci - za utrat« danych lub zniszczenie oprogramowania""";30 pa 12;;INNE USüUGI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3921;19 lip 12;Sygn. Akt XVII AmC 5943/11;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Og—lnopolskie Stowarzyszenie na rzecz ochrony praw konsument—w ;Pozwany: Agencja Promocji JET Sp. z o.o.;"""Odpowiedzialnoæ Organizatora/Zleceniodawcy wobec danego uczestnika nie przekroczy wartoæci nagrody przypadajˆcej na tego Uczestnika zgodnie z postanowieniami Regulaminu""";30 pa 12;;HANDEL ELEKTRONICZNY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3922;19 lip 12;Sygn. Akt XVII AmC 5944/11;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Og—lnopolskie Stowarzyszenie na rzecz ochrony praw konsument—w ;Pozwany: Agencja Promocji JET Sp. z o.o.;"""Wszelkie spory zwiˆzane z niniejszym Konkursem rozstrzyga b«dzie Sˆd w¸aæciwy miejscowo dla siedziby Organizatora""";30 pa 12;;HANDEL ELEKTRONICZNY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3923;22 kwi 11;Sygn. Akt XVII AmC 1674/09;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w;Pozwany: Akademia Humanistyczno-Ekonomiczna w üodzi;"""W przypadku rozwiˆzania niniejszej umowy w trybie okreælonym w ust. 1, Student zobowiˆzany jest do wniesienia op¸aty za studia liczone do ostatniego dnia miesiˆca, w kt—rym nastˆpi¸o skuteczne rozwiˆzanie umowy. Student zobowiˆzany jest do zwrotu wydatk—w poczynionych przez Uczelni« w celu naleıytego wykonania cyklu kszta¸cenia w wysokoæci do 70% czesnego za kaıdy miesiˆc pozosta¸y do ukoÄczenia semestru. W przypadku rozwiˆzania umowy bez waınego powodu Student zobowiˆzany jest takıe do zap¸aty Uczelni odszkodowania w wysokoæci do 20% czesnego za kaıdy miesiˆc pozosta¸y do ukoÄczenia semestru. Zap¸ata odszkodowania oraz wydatk—w winna nastˆpi w terminie 14 dni od daty rozwiˆzania umowy. W wypadku niewniesienia we wskazanym terminie kt—rejkolwiek z op¸at wskazanych w niniejszym ust«pie stosuje si« zapis ¤ 3 ust. 4""";30 pa 12;Wyrok Sˆdu Apelacyjnego w Warszawie z dnia 9 marca 2012 r. (VI Wydzia¸ Cywilny - sygn. akt XVII AmC 1674/09);EDUKACJA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3924;22 kwi 11;Sygn. Akt XVII AmC 1674/09;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w;Pozwany: Akademia Humanistyczno-Ekonomiczna w üodzi;"""Student moıe pozostawi indeks i kart« okresowych osiˆgni« w depozycie Uczelni, przekazujˆc jej obowiˆzek dokonywania wpis—w. Uczelnia moıe nie dokona wpis—w w indeksie do czasu uregulowania przez Studenta wszystkich zaleg¸oæci finansowych""";30 pa 12;Wyrok Sˆdu Apelacyjnego w Warszawie z dnia 9 marca 2012 r. (VI Wydzia¸ Cywilny - sygn. akt XVII AmC 1674/09);EDUKACJA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3925;22 kwi 11;Sygn. Akt XVII AmC 1674/09;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w;Pozwany: Akademia Humanistyczno-Ekonomiczna w üodzi;"""Aby reklamacja zosta¸a rozpatrzona, Uczestnik jest zobowiˆzany do zg¸oszenia reklamacji niezw¸ocznie, ale nie p—niej niı w terminie do 3 dni od momentu zaistnienia zastrzeıeÄ co do technicznej jakoæci us¸ugi""";30 pa 12;Wyrok Sˆdu Apelacyjnego w Warszawie z dnia 9 marca 2012 r. (VI Wydzia¸ Cywilny - sygn. akt XVII AmC 1674/09);EDUKACJA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3926;22 kwi 11;Sygn. Akt XVII AmC 1674/09;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w;Pozwany: Akademia Humanistyczno-Ekonomiczna w üodzi;"""Terminy, o kt—rych mowa w pkt 2 sˆ odleg¸e o co najmniej 3 dni. Termin poprawkowy nie moıe odby si« wczeæniej niı po trzech dniach od dnia, w kt—rym student m—g¸ dowiedzie si« o wyniku uzyskanym w terminie zwyk¸ym""";30 pa 12;Wyrok Sˆdu Apelacyjnego w Warszawie z dnia 9 marca 2012 r. (VI Wydzia¸ Cywilny - sygn. akt XVII AmC 1674/09);EDUKACJA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3927;22 kwi 11;Sygn. Akt XVII AmC 1674/09;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w;Pozwany: Akademia Humanistyczno-Ekonomiczna w üodzi;"""Student, kt—ry otrzyma¸ z egzaminu w sesji egzaminacyjnej zwyk¸ej ocen« niedostatecznˆ lub nie przystˆpi¸ do zdawania egzaminu w pierwszym terminie ma prawo jedynie do zdawania egzaminu poprawkowego zwyk¸ego w tej sesji. Student, kt—ry nie zg¸osi¸ si« na egzamin poprawkowy zwyk¸y lub otrzyma¸ ocen« niedostatecznˆ ma prawo przystˆpi do egzaminu dodatkowego poprawkowego w sesji poprawkowej. Egzamin poprawkowy dodatkowy jest p¸atny w wysokoæci okreælonej cennikiem (...)""";30 pa 12;Wyrok Sˆdu Apelacyjnego w Warszawie z dnia 9 marca 2012 r. (VI Wydzia¸ Cywilny - sygn. akt XVII AmC 1674/09);EDUKACJA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3928;22 kwi 11;Sygn. Akt XVII AmC 1674/09;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w;Pozwany: Akademia Humanistyczno-Ekonomiczna w üodzi;"""Egzamin komisyjny nie moıe odby si« wczeæniej niı po up¸ywie 5 dni od dor«czenia studentowi decyzji Prodziekana o jego organizacji""";30 pa 12;Wyrok Sˆdu Apelacyjnego w Warszawie z dnia 9 marca 2012 r. (VI Wydzia¸ Cywilny - sygn. akt XVII AmC 1674/09);EDUKACJA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3929;22 kwi 11;Sygn. Akt XVII AmC 1674/09;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w;Pozwany: Akademia Humanistyczno-Ekonomiczna w üodzi;"""Dla kaıdego egzaminu ustalane sˆ dwa terminy zdawania w sesji zwyk¸ej: termin zwyk¸y i termin poprawkowy, odleg¸e o co najmniej 3 dni"" (É)""Student, kt—ry otrzyma¸ z egzaminu w sesji egzaminacyjnej zwyk¸ej ocen« niedostatecznˆ lub nie przystˆpi¸ do zdawania egzaminu w pierwszym terminie, ma prawo jedynie do zdawania egzaminu poprawkowego zwyk¸ego w tej sesji""";30 pa 12;Wyrok Sˆdu Apelacyjnego w Warszawie z dnia 9 marca 2012 r. (VI Wydzia¸ Cywilny - sygn. akt XVII AmC 1674/09);EDUKACJA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3930;22 kwi 11;Sygn. Akt XVII AmC 1674/09;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w;Pozwany: Akademia Humanistyczno-Ekonomiczna w üodzi;"""W okresie korzystania z urlopu student zachowuje prawa studenckie, o ile dokonuje odpowiednich op¸at. Op¸at« za urlop naleıy wnieæ z g—ry po przyznaniu urlopu""";30 pa 12;Wyrok Sˆdu Apelacyjnego w Warszawie z dnia 9 marca 2012 r. (VI Wydzia¸ Cywilny - sygn. akt XVII AmC 1674/09);EDUKACJA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3931;22 kwi 11;Sygn. Akt XVII AmC 1674/09;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w;Pozwany: Akademia Humanistyczno-Ekonomiczna w üodzi;"""Student, kt—ry nie z¸oıy¸ pracy dyplomowej do koÄca ostatniego semestru studi—w moıe ubiega si« u Dziekana o przed¸uıenie tego terminu do koÄca nast«pnego semestru. Po uzyskaniu takiej zgody student op¸aca czesne za okres, za kt—ry uzyska¸ przed¸uıenie""";30 pa 12;Wyrok Sˆdu Apelacyjnego w Warszawie z dnia 9 marca 2012 r. (VI Wydzia¸ Cywilny - sygn. akt XVII AmC 1674/09);EDUKACJA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3932;22 kwi 11;Sygn. Akt XVII AmC 1674/09;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Prezes Urz«du Ochrony Konkurencji i Konsument—w;Pozwany: Akademia Humanistyczno-Ekonomiczna w üodzi;"""W przypadku uzyskania z egzaminu dyplomowego oceny niedostatecznej lub nieprzystˆpienia do egzaminu w ustalonym terminie Dziekan wyznacza drugi termin p¸atny w podw—jnej wysokoæci egzaminu dyplomowego""";30 pa 12;Wyrok Sˆdu Apelacyjnego w Warszawie z dnia 9 marca 2012 r. (VI Wydzia¸ Cywilny - sygn. akt XVII AmC 1674/09);EDUKACJA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3933;19 cze 12;Sygn. Akt XVII AmC 1138/12;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;"Pow—d: Stowarzyszenie ""Towarzystwo Lexus"" w Poznaniu";Pozwany: Galeria Malta sp—¸ka z ograniczonˆ odpowiedzialnoæciˆ w Warszawie;"""Wszelkie reklamacje dotyczˆce przebiegu Promocji mogˆ by sk¸adane w terminie do dnia 5 padziernika 2011 r.""";9 lis 12;;INNE USüUGI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3934;29 mar 12;Sygn. Akt XVII AmC 2322/11;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Bartosz Bilski;Pozwany: - Tomasz Go¸«biowski -  Eldorado Jewerlly Tomasz Go¸«biowski z/s w Piotrkowie Trybunalskim;"""Dokonanie zakup—w w sklepie Eldorado jest jednoznaczne z akceptacjˆ regulaminu, zastrzegamy sobie prawo do wprowadzania zmian w Regulaminie sklepu bez obowiˆzku informowania  o tym uıytkownik—w oraz klient—w""";9 lis 12;;HANDEL ELEKTRONICZNY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3935;02 lut 12;Sygn. Akt XVII AmC 1283/11;Sˆd Okr«gowy w Warszawie - XVII Wydzia¸ Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Jaros¸aw Knie;Pozwany: Muzeum Stutthof w Sztutowie;"""Podmiot prowadzˆcy ksi«garni« uprawniony jest do interpretacji niniejszego Regulaminu""";9 lis 12;;INNE USüUGI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3936;27 kwi 12;Sygn. Akt XVII AmC 267/11;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Jaros¸aw Knie;Pozwany: Wielkie Wina sp—¸ka z ograniczonˆ odpowiedzialnoæciˆ w Poznaniu;"""Sˆdem w¸aæciwym dla rozpatrywania spor—w wynikajˆcych z umowy sprzedaıy jest sˆd w¸aæciwy dla siedziby firmy Wielkie Wina Sp. z o.o.""";9 lis 12;;HANDEL ELEKTRONICZNY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3937;02 sie 12;Sygn. Akt XVII AmC 1051/12;Sˆd Okr«gowy w Warszawie - XVII Wydzia¸ Sˆd Ochrony Konkurencji i Konsument—w;"Pow—d: Stowarzyszenie ""Towarzystwo Lexus"" w Poznaniu";Pozwany: ELLIGO GROUP Kroll, Wiko sp—¸ka jawna w Poznaniu;"""Wszelka korespondencja wys¸ana na adres podany przez Zamawiajˆcego, uznawana b«dzie za dostarczonˆ""";9 lis 12;;NIERUCHOMOåCI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3938;21 lut 12;Sygn. Akt XVII AmC 3351/10;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Stowarzyszenie Towarzystwo Lexus z siedzibˆ w Poznaniu;Pozwany: InterRisk Towarzystwo UbezpieczeÄ S.A. Vienna Insurance Group z siedzibˆ w Warszawie;"""Jeıeli Ubezpieczajˆcy/Ubezpieczony zmieni¸ siedzib« lub adres i nie zawiadomi¸ o tym Ubezpieczyciela, pismo Ubezpieczyciela skierowane pod ostatni znany adres Ubezpieczajˆcego/Ubezpieczonego, uwaıa si« za dor«czone i wywo¸ujˆce skutki prawne od chwili, w kt—rej zosta¸oby dor«czone, gdyby Ubezpieczajˆcy/Ubezpieczony nie zmienil siedziby lub adresu""";9 lis 12;;USüUGI UBEZPIECZENIOWE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3939;18 cze 12;Sygn. Akt XVII AmC 1150/11;Sˆd Okr«gowy w Warszawie - XVII Wydzia¸ Gospodarczy Sˆd Ochrony Konkurencji i Konsument—w;Pow—d: Og—lnopolskie Stowarzyszenie na rzecz ochrony praw konsument—w z siedzibˆ w Warszawie;"Pozwany: Zofia Szczepan, Olaf Szczepan  - ""Centrum TaÄca Szczepan"" z siedzibˆ w Rumii";"""Uczestnikowi nie przys¸uguje zwrot wartoæci æwiadczeÄ, kt—rych nie wykorzysta¸ w czasie trwania imprezy turystycznej z przyczyn leıˆcych po stronie Uczestnika""";9 lis 12;;INNE USüUGI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3940;10 kwi 12;Sygn. Akt XVII AmC 654/12;Sˆd Okr«gowy w Warszawie - XVII Wydzia¸ Sˆd Ochrony Konkurencji i Konsument—w;"Pow—d: Stowarzyszenie ""Towarzystwo Lexus"" z siedzibˆ w Poznaniu";Pozwany: Lidia Rasztawicka - Avanti w Sulej—wku;"""Organizator nie ponosi odpowiedzialnoæci za szkody i straty powsta¸e w wyniku niew¸aæciwego dzia¸ania (É) firm kurierskich (É)""";9 lis 12;Wyrok Sˆdu Apelacyjnego w Warszawie z dnia 21 wrzeænia 2012 r. (VI Wydzia¸ Cywilny - sygn. akt VI ACz 1362/12);INNE USüUGI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3941;10 kwi 12;Sygn. Akt XVII AmC 655/12;Sˆd Okr«gowy w Warszawie - XVII Wydzia¸ Sˆd Ochrony Konkurencji i Konsument—w;"Pow—d: Stowarzyszenie ""Towarzystwo Lexus"" z siedzibˆ w Poznaniu";Pozwany: Lidia Rasztawicka - Avanti w Sulej—wku;" ""Organizator nie ponosi odpowiedzialnoæci za szkody i straty powsta¸e w wyniku niew¸aæciwego dzia¸ania (É) pracownik—w Punktu Odbioru Osobistego (É)"" ";9 lis 12;Wyrok Sˆdu Apelacyjnego w Warszawie z dnia 21 wrzeænia 2012 r. (VI Wydzia¸ Cywilny - sygn. akt VI ACz 1366/12);INNE USüUGI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3942;26 lip 12;Sygn. Akt XVII AmC 619/12;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;"Pow—d: Stowarzyszenie ""Towarzystwo Lexus"" w Poznaniu";Pozwany: Andrzej Mariusz Dyna - Ixprom System Logistyk w Wadowicach;"""W przypadku stwierdzenia przez ISL braku kompletu niezb«dnych dokument—w do przyj«cia reklamacji, Zleceniodawca zostanie wezwany do uzupe¸nienia w terminie 1 miesiˆca od daty wys¸ania takiego ıˆdania""";9 lis 12;;INNE USüUGI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3943;26 lip 12;Sygn. Akt XVII AmC 621/12;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;"Pow—d: Stowarzyszenie ""Towarzystwo Lexus"" w Poznaniu";Pozwany: Andrzej Mariusz Dyna - Ixprom System Logistyk w Wadowicach;"""ISL ponosi odpowiedzialnoæ tylko w wypadku, gdy bezspornie z jej winy nastˆpi utrata, ubytek lub uszkodzenie przesy¸ki""";9 lis 12;;INNE USüUGI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3944;26 lip 12;Sygn. Akt XVII AmC 623/12;Sˆd Okr«gowy w Warszawie - Sˆd Ochrony Konkurencji i Konsument—w;"Pow—d: Stowarzyszenie ""Towarzystwo Lexus"" w Poznaniu";Pozwany: Andrzej Mariusz Dyna - Ixprom System Logistyk w Wadowicach;"""Spory wynikajˆce z Umowy i Regulaminu rozstrzygane b«dˆ przez Sˆdy powszechne w¸aæciwe dla siedziby ISL""";9 lis 12;;INNE USüUGI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
